starting,Executing hook on transaction ,checking permissions,Opening tables,init,System lock,optimizing,statistics,preparing,Creating tmp table,executing,end,query end,waiting for handler commit,removing tmp table,closing tables,freeing items,cleaning up,total,rowScan,rowOut,Timestamp
5.400000000000001e-05,7.000000000000003e-06,8e-06,2.3e-05,1.4999999999999999e-05,1e-05,8e-06,1.3000000000000001e-05,1.3000000000000001e-05,3.3e-05,0.058784,2e-05,7.000000000000003e-06,2.1e-05,8.3e-05,1.1e-05,3.8e-05,1.4000000000000001e-05,0.059162,28427,28427.0,1606374965.1003554
5.1e-05,7.000000000000003e-06,8e-06,2.2e-05,8e-06,1e-05,8e-06,1.2e-05,1.2e-05,3.2e-05,0.058924,1.9e-05,7.000000000000003e-06,2.1e-05,7.4e-05,1.1e-05,4e-05,1.5e-05,0.059280999999999986,28747,28747.0,1606375025.233581
5.1e-05,7.000000000000003e-06,8e-06,2.3e-05,9e-06,1e-05,8e-06,1.3000000000000001e-05,1.3000000000000001e-05,3.2e-05,0.059413,2.2e-05,8e-06,2.4e-05,8.7e-05,1.3000000000000001e-05,4.2e-05,1.6e-05,0.059799,29111,29111.0,1606375085.372832
5.3e-05,7.000000000000003e-06,7.000000000000003e-06,2.2e-05,8e-06,1e-05,8e-06,1.2e-05,1.2e-05,3e-05,0.062392,2e-05,8e-06,2.3e-05,8e-05,1.2e-05,3.9e-05,3.2e-05,0.062775,29422,29422.0,1606375145.5123448
5.9e-05,9e-06,1e-05,2.5e-05,9e-06,1.2e-05,9e-06,1.4999999999999999e-05,1.4000000000000001e-05,3.7e-05,0.035761,1.4999999999999999e-05,7.000000000000003e-06,1.7e-05,5.7999999999999994e-05,1e-05,3.7e-05,1.3000000000000001e-05,0.036117,29731,29731.0,1606375205.6295693
5.2e-05,7.000000000000003e-06,7.000000000000003e-06,2.2e-05,9e-06,9e-06,8e-06,1.2e-05,1.3e-05,3.1e-05,0.061443,1.9e-05,7.000000000000003e-06,2.4e-05,9.2e-05,1.1e-05,4e-05,1.4e-05,0.061820000000000014,30043,30043.0,1606375265.7707806
5.400000000000001e-05,7.000000000000003e-06,8e-06,2.3e-05,8e-06,1e-05,8e-06,1.3000000000000001e-05,1.3000000000000001e-05,3.2e-05,0.062079999999999996,2e-05,9e-06,2.4e-05,8.7e-05,1.3000000000000001e-05,3.7e-05,1.7e-05,0.062463,30351,30351.0,1606375325.915627
7.3e-05,1e-05,1e-05,3.2e-05,1.1e-05,1.4e-05,1.2e-05,2.2e-05,1.9e-05,4.9e-05,0.036687,1.9e-05,7.000000000000003e-06,3.6e-05,6.500000000000001e-05,9e-06,3.4e-05,1.4e-05,0.037123,30659,30659.0,1606375386.034561
5.1e-05,7.000000000000003e-06,8e-06,2.4e-05,8e-06,1e-05,8e-06,1.3000000000000001e-05,1.3000000000000001e-05,3.3e-05,0.036829,1.4000000000000001e-05,6e-06,1.8e-05,6.8e-05,1e-05,3.6e-05,1.2e-05,0.037168,30958,30958.0,1606375446.1505485
5.2e-05,7.000000000000003e-06,8e-06,2.2e-05,9e-06,9e-06,8e-06,1.3e-05,1.3e-05,3.2e-05,0.066367,2e-05,8e-06,2.2e-05,9.2e-05,1.2e-05,3.8e-05,1.6e-05,0.066748,31256,31256.0,1606375506.2962155
3.9e-05,6e-06,8e-06,1.7e-05,7.000000000000003e-06,8e-06,7.000000000000003e-06,9e-06,9e-06,2.4e-05,0.055244000000000015,1.4000000000000001e-05,8e-06,2.2e-05,9.300000000000001e-05,1.2e-05,3.7e-05,1.4999999999999999e-05,0.055578999999999996,31553,31553.0,1606375566.4297848
5.3e-05,7.000000000000003e-06,8e-06,2.3e-05,8e-06,1.1e-05,8e-06,1.2e-05,1.2e-05,3.3e-05,0.043684,1.9e-05,7.000000000000003e-06,2.2e-05,9.2e-05,1.1e-05,3.8e-05,1.3e-05,0.044061,31849,31849.0,1606375626.5534425
4.1e-05,5e-06,7.000000000000003e-06,1.7e-05,6e-06,8e-06,6e-06,9e-06,1e-05,2.4e-05,0.032549,1.4000000000000001e-05,6e-06,1.8e-05,6.2e-05,1e-05,3.2e-05,1.2e-05,0.032836000000000004,32141,32141.0,1606375686.6489296
5.1e-05,8e-06,8e-06,2.3e-05,1.7e-05,1.1e-05,8e-06,1.3e-05,1.3e-05,3.2e-05,0.06720599999999999,2e-05,7.000000000000003e-06,2.1e-05,9e-05,1.2e-05,3.7e-05,3.1e-05,0.067608,32301,32301.0,1606375746.7902012
8.6e-05,1.2e-05,1.3000000000000001e-05,4e-05,1.4000000000000001e-05,1.8e-05,1.3000000000000001e-05,2.2e-05,2.1e-05,5.600000000000001e-05,0.070823,2.1e-05,1.1e-05,2.6000000000000002e-05,0.00011100000000000001,1.2e-05,4.1e-05,1.4999999999999999e-05,0.071355,32592,32592.0,1606375806.9371588
6.2e-05,7.000000000000003e-06,9e-06,2.7e-05,9e-06,1.1e-05,8e-06,1.3e-05,1.4e-05,3.5e-05,0.06815800000000001,1.9e-05,8e-06,2.3e-05,9.6e-05,1.1e-05,5.7e-05,2.9e-05,0.068596,32881,32881.0,1606375867.0854366
3.8e-05,5e-06,6e-06,1.7e-05,7.000000000000003e-06,8e-06,6e-06,1e-05,9e-06,2.4e-05,0.035129,1.4000000000000001e-05,6e-06,1.7e-05,6.500000000000001e-05,8e-06,3.1e-05,1.1e-05,0.035411,33171,33171.0,1606375927.20249
5.2e-05,7.000000000000003e-06,8e-06,2.3e-05,8e-06,1e-05,8e-06,1.3e-05,1.2e-05,3.2e-05,0.051901,1.8e-05,6e-06,1.9e-05,8.7e-05,1e-05,3.7e-05,1.3e-05,0.052264,33461,33461.0,1606375987.333104
5.3e-05,7.000000000000003e-06,7.000000000000003e-06,2.3e-05,8e-06,1e-05,8e-06,1.3000000000000001e-05,1.3000000000000001e-05,3.9e-05,0.06963899999999999,1.4999999999999999e-05,7.000000000000003e-06,4e-05,0.00010700000000000001,1.1e-05,3.6e-05,2.8999999999999997e-05,0.070065,33748,33748.0,1606376047.4793262
5.3e-05,7.000000000000003e-06,7.000000000000003e-06,2.1e-05,9e-06,1e-05,7.000000000000003e-06,1.2e-05,1.3e-05,3.2e-05,0.069274,2e-05,7.000000000000003e-06,2.1e-05,9.3e-05,1.1e-05,3.5e-05,1.4e-05,0.069646,34032,34032.0,1606376107.6292744
3.7e-05,5e-06,6e-06,1.7e-05,6e-06,8e-06,7.000000000000003e-06,1e-05,9e-06,2.3e-05,0.036291000000000004,1.4000000000000001e-05,6e-06,1.7e-05,6.500000000000001e-05,9e-06,3.4e-05,2.8000000000000013e-05,0.036592,34313,34313.0,1606376167.693383
4e-05,6e-06,6e-06,1.7e-05,6e-06,8e-06,6e-06,1e-05,9e-06,2.4e-05,0.035286,1.6e-05,6e-06,1.6e-05,6.3e-05,9e-06,3.3e-05,2.6e-05,0.035587,34590,34590.0,1606376227.8037665
5.2000000000000004e-05,8e-06,8e-06,2.3e-05,9e-06,1e-05,9e-06,1.3000000000000001e-05,1.2e-05,3.1e-05,0.071523,1.9e-05,8e-06,2.2e-05,9.1e-05,1.1e-05,4.1e-05,1.4999999999999999e-05,0.071905,34864,34864.0,1606376287.9572155
